mmu00010,Glycolysis / Gluconeogenesis
209558,Enpp3
20133,Rrm1
382985,Rrm2b
20135,Rrm2
66422,Dctpp1
110074,Dut
22171,Tyms
72269,Cda
72962,Tymp
18950,Pnp
667034,Pnp2
13178,Dck
320685,Dctd
57813,Tk2
21877,Tk1
21915,Dtymk
66401,Nudt2
mmu00250,Alanine; aspartate and glutamate metabolism
14718,Got1
14719,Got2
14204,Il4i1
100470,Lao1
100328588,Il4i1b
73988,4930438A08Rik
70503,Ddo
66514,Asrgl1
27053,Asns
52633,Nit2
108682,Gpt2
76282,Gpt
11611,Agxt
268782,Agxt2
11898,Ass1
109900,Asl
11565,Adssl1
11566,Adss
11564,Adsl
269642,Nat8l
108653,Rimklb
194237,Rimkla
53320,Folh1
11484,Aspa
14415,Gad1
14417,Gad2
268860,Abat
214579,Aldh5a1
14661,Glud1
212647,Aldh4a1
14645,Glul
69719,Cad
216456,Gls2
14660,Gls
227231,Cps1
14583,Gfpt1
14584,Gfpt2
231327,Ppat
mmu00260,Glycine; serine and threonine metabolism
71776,Tha1
20425,Shmt1
108037,Shmt2
11611,Agxt
76238,Grhpr
235582,Glyctk
18648,Pgam1
56012,Pgam2
12183,Bpgm
236539,Phgdh
107272,Psat1
100678,Psph
26912,Gcat
58865,Tdh
11656,Alas2
11655,Alas1
17161,Maoa
109731,Maob
11754,Aoc3
237940,Aoc2
104174,Gldc
434437,Amt
13382,Dld
68133,Gcsh
13142,Dao
268782,Agxt2
67092,Gatm
14431,Gamt
218865,Chdh
110695,Aldh7a1
12116,Bhmt
74129,Dmgdh
19193,Pipox
192166,Sardh
14711,Gnmt
12411,Cbs
107869,Cth
231691,Sds
257635,Sdsl
27364,Srr
mmu00270,Cysteine and methionine metabolism
107869,Cth
229905,Kyat3
70266,Kyat1
12411,Cbs
12116,Bhmt
64918,Bhmt2
238505,Mtr
11720,Mat1a
232087,Mat2a
108645,Mat2b
11702,Amd1
100041585,Amd2
20810,Srm
20603,Sms
66902,Mtap
67873,Mri1
56369,Apip
67870,Enoph1
104923,Adi1
234724,Tat
14204,Il4i1
100470,Lao1
100328588,Il4i1b
73988,4930438A08Rik
13433,Dnmt1
13435,Dnmt3a
13436,Dnmt3b
269378,Ahcy
229709,Ahcyl1
74340,Ahcyl2
11615,Gm4737
12035,Bcat1
12036,Bcat2
268782,Agxt2
14629,Gclc
14630,Gclm
14854,Gss
12583,Cdo1
14718,Got1
14719,Got2
246221,Mpst
22117,Tst
16828,Ldha
16832,Ldhb
16833,Ldhc
106557,Ldhal6b
17449,Mdh1
17448,Mdh2
231691,Sds
257635,Sdsl
236539,Phgdh
107272,Psat1
mmu00280,Valine; leucine and isoleucine degradation
12035,Bcat1
12036,Bcat2
14204,Il4i1
100470,Lao1
100328588,Il4i1b
73988,4930438A08Rik
12039,Bckdha
12040,Bckdhb
13171,Dbt
13382,Dld
11409,Acads
11364,Acadm
56357,Ivd
66885,Acadsb
66948,Acad8
97212,Hadha
74147,Ehhadh
93747,Echs1
15107,Hadh
15108,Hsd17b10
113868,Acaa1a
235674,Acaa1b
52538,Acaa2
231086,Hadhb
110821,Pcca
66904,Pccb
73724,Mcee
17850,Mmut
227095,Hibch
58875,Hibadh
104776,Aldh6a1
11669,Aldh2
11671,Aldh3a2
72535,Aldh1b1
110695,Aldh7a1
56752,Aldh9a1
213043,Aox2
11761,Aox1
71872,Aox4
71724,Aox3
257633,Acsf3
268860,Abat
268782,Agxt2
72039,Mccc1
78038,Mccc2
11992,Auh
15356,Hmgcl
208982,Hmgcll1
67041,Oxct1
64059,Oxct2a
353371,Oxct2b
78894,Aacs
110460,Acat2
110446,Acat1
208715,Hmgcs1
15360,Hmgcs2
mmu00290,Valine; leucine and isoleucine biosynthesis
231691,Sds
257635,Sdsl
12035,Bcat1
12036,Bcat2
mmu00310,Lysine degradation
30956,Aass
